41 18442 20637 32570
 11596 16263 16679 8514 14000
 2373 2302 23290 432 4623
 28588 32248 3009 32528 844
 1317 19743 20246 9412 21754
 22366 18606 6478 8787 25668
 21333 9964 17608 856 10987
 24659 30352 27661 6165 25579
 17250 8437 12977 31032 14828
 8347 32379 28551 31309 14277
 29516 20519 16418 19706 16849
 25135 2478 4138 28523 13688
 7075 9042 6246 32434 2462
 12830 25067 6104 12879 8335
 16462 5790 19464 7856 19119
 1202 15041 11424 32321 26956
 31337 31901 31278 28541 21086
 27322 15503 21277 9135 32318
 26305 26053 27105 21163 7718
 12705 26826 26690 11421 26147
 23025
